AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CLM_body
30,0,20,20,-0.060914377
45,0,20,20,0.048580574
-4,0,20,-10,-0.025502827
0,0,20,-10,-0.071671256
4,0,20,-10,-0.115291553
8,0,20,-10,-0.139263624
12,0,20,-10,-0.13019643
16,0,20,-10,-0.107021307
20,0,20,-10,-0.110269864
30,0,20,-10,-0.051826863
45,0,20,-10,0.058500513
-4,0,20,-20,-0.021583479
0,0,20,-20,-0.067843025
4,0,20,-20,-0.11117552
8,0,20,-20,-0.124063521
12,0,20,-20,-0.120879281
16,0,20,-20,-0.10692819
20,0,20,-20,-0.101369789
30,0,20,-20,-0.05635948
45,0,20,-20,0.052484945
-4,0,-10,0,0.166330227
0,0,-10,0,0.122694557
4,0,-10,0,0.074831735
8,0,-10,0,0.051815428
12,0,-10,0,0.077014577
16,0,-10,0,0.089866658
20,0,-10,0,0.097155163
30,0,-10,0,0.129309264
45,0,-10,0,0.198881852
-4,0,-10,10,0.161324699
0,0,-10,10,0.113482802
4,0,-10,10,0.067252708
8,0,-10,10,0.049322375
12,0,-10,10,0.065265344
16,0,-10,10,0.077467521
20,0,-10,10,0.084086172
30,0,-10,10,0.08716152
45,0,-10,10,0.162525781
-4,0,-10,20,0.164413809
0,0,-10,20,0.113307967
4,0,-10,20,0.066950829
8,0,-10,20,0.05425487
12,0,-10,20,0.069688149
16,0,-10,20,0.074983232
20,0,-10,20,0.072437729
30,0,-10,20,0.062087858
45,0,-10,20,0.151887198
-4,0,-10,-10,0.160472974
0,0,-10,-10,0.114344806
4,0,-10,-10,0.067692294
8,0,-10,-10,0.049246585
12,0,-10,-10,0.064870167
16,0,-10,-10,0.077054143
20,0,-10,-10,0.078945997
30,0,-10,-10,0.067521729
45,0,-10,-10,0.160391837
-4,0,-10,-20,0.157486549
0,0,-10,-20,0.109346446
4,0,-10,-20,0.062578417
8,0,-10,-20,0.044387816
12,0,-10,-20,0.073232427
16,0,-10,-20,0.073416131
20,0,-10,-20,0.06882043
30,0,-10,-20,0.063728857
45,0,-10,-20,0.149882523
