AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CZ_body
16,-10,-10,-10,-0.666881612
20,-10,-10,-10,-0.923773421
30,-10,-10,-10,-1.439623567
45,-10,-10,-10,-1.618745333
-4,-10,-10,-20,0.279984899
0,-10,-10,-20,0.101870885
4,-10,-10,-20,-0.074965229
8,-10,-10,-20,-0.260765205
12,-10,-10,-20,-0.458429731
16,-10,-10,-20,-0.668458679
20,-10,-10,-20,-0.922246791
30,-10,-10,-20,-1.418645635
45,-10,-10,-20,-1.629599463
-4,-10,-20,0,0.351521774
0,-10,-20,0,0.164073498
4,-10,-20,0,-0.022221895
8,-10,-20,0,-0.2118492
12,-10,-20,0,-0.412354261
16,-10,-20,0,-0.608105363
20,-10,-20,0,-0.839962652
30,-10,-20,0,-1.450531451
45,-10,-20,0,-1.640056806
-4,-10,-20,10,0.353144618
0,-10,-20,10,0.165641933
4,-10,-20,10,-0.023694959
8,-10,-20,10,-0.214144956
12,-10,-20,10,-0.403727001
16,-10,-20,10,-0.586997854
20,-10,-20,10,-0.80800559
30,-10,-20,10,-1.436573593
45,-10,-20,10,-1.589277384
-4,-10,-20,20,0.384457179
0,-10,-20,20,0.191988258
4,-10,-20,20,0.004030779
8,-10,-20,20,-0.182961532
12,-10,-20,20,-0.371835605
16,-10,-20,20,-0.559339317
20,-10,-20,20,-0.791824613
30,-10,-20,20,-1.425771184
45,-10,-20,20,-1.593143431
-4,-10,-20,-10,0.345341521
0,-10,-20,-10,0.166328464
4,-10,-20,-10,-0.011962324
8,-10,-20,-10,-0.197439547
12,-10,-20,-10,-0.397408028
16,-10,-20,-10,-0.606990233
20,-10,-20,-10,-0.846743662
30,-10,-20,-10,-1.423126303
45,-10,-20,-10,-1.586230863
-4,-10,-20,-20,0.351243552
0,-10,-20,-20,0.17336209
4,-10,-20,-20,-0.009592675
8,-10,-20,-20,-0.194270738
12,-10,-20,-20,-0.390424475
16,-10,-20,-20,-0.60215471
20,-10,-20,-20,-0.841964423
30,-10,-20,-20,-1.413409722
45,-10,-20,-20,-1.60164554
-4,-20,0,0,0.217321104
0,-20,0,0,0.043746042
4,-20,0,0,-0.137000422
8,-20,0,0,-0.336047802
12,-20,0,0,-0.556850031
16,-20,0,0,-0.751325018
20,-20,0,0,-1.012444748
30,-20,0,0,-1.627713197
45,-20,0,0,-1.723053845
-4,-20,0,10,0.241971749
0,-20,0,10,0.058820714
4,-20,0,10,-0.12625859
8,-20,0,10,-0.321230777
12,-20,0,10,-0.536294896
16,-20,0,10,-0.716432002
20,-20,0,10,-0.992179721
30,-20,0,10,-1.576796251
45,-20,0,10,-1.729380814
-4,-20,0,20,0.261978348
0,-20,0,20,0.081782146
4,-20,0,20,-0.101266663
8,-20,0,20,-0.293329153
12,-20,0,20,-0.501604286
16,-20,0,20,-0.701660704
20,-20,0,20,-0.986003267
30,-20,0,20,-1.571141041
45,-20,0,20,-1.734875192
-4,-20,0,-10,0.189242666
0,-20,0,-10,0.026864078
4,-20,0,-10,-0.148485584
8,-20,0,-10,-0.343591745
12,-20,0,-10,-0.560830088
16,-20,0,-10,-0.783544669
20,-20,0,-10,-1.044845241
30,-20,0,-10,-1.523527142
45,-20,0,-10,-1.762783714
-4,-20,0,-20,0.191060895
0,-20,0,-20,0.028574085
4,-20,0,-20,-0.140933473
8,-20,0,-20,-0.3256593
12,-20,0,-20,-0.542738817
